paso,tiempo_s,ps0_raw,ps7_raw,ps0_norm,ps7_norm,front_norm_crudo,front_norm_filtrado,front_metros_crudo,front_metros_kalman,ganancia_K,delta_d_encoder,ps1_norm,ps6_norm,ps2_norm,ps5_norm,accion
0,0.0,67.8,67.1,0.0166,0.0164,0.0165,0.0164,0.09835,0.09835,0.95243,0.0,0.0291,0.0315,0.0635,0.0171,avanzar
1,0.064,69.7,65.0,0.017,0.0159,0.0164,0.0164,0.09836,0.09548,0.49301,0.005665,0.0283,0.0299,0.0597,0.017,avanzar
2,0.128,62.8,70.8,0.0153,0.0173,0.0163,0.0164,0.09837,0.0928,0.33907,0.005536,0.0285,0.0307,0.0606,0.0155,avanzar
3,0.192,72.8,64.9,0.0178,0.0159,0.0168,0.0165,0.09832,0.09033,0.2642,0.005343,0.0291,0.0333,0.0601,0.0157,avanzar
4,0.256,66.8,59.9,0.0163,0.0146,0.0155,0.0162,0.09845,0.08807,0.22131,0.005214,0.0263,0.0319,0.0574,0.0169,avanzar
5,0.32,67.1,65.0,0.0164,0.0159,0.0161,0.0162,0.09839,0.08603,0.1944,0.005021,0.0305,0.0306,0.0636,0.0165,avanzar
6,0.384,71.2,72.5,0.0174,0.0177,0.0175,0.0166,0.09825,0.08405,0.17655,0.005021,0.0284,0.0295,0.0616,0.0133,avanzar
7,0.448,70.1,68.8,0.0171,0.0168,0.017,0.0167,0.0983,0.08241,0.16426,0.004763,0.0292,0.0321,0.0591,0.0158,avanzar
8,0.512,63.3,63.7,0.0155,0.0156,0.0155,0.0163,0.09845,0.08088,0.15559,0.004763,0.0272,0.0308,0.0646,0.0173,avanzar
9,0.576,68.1,66.6,0.0166,0.0163,0.0164,0.0164,0.09836,0.0795,0.14936,0.004699,0.0293,0.0301,0.0627,0.016,avanzar
10,0.64,68.2,73.5,0.0166,0.0179,0.0173,0.0166,0.09827,0.07831,0.14483,0.00457,0.0283,0.0304,0.0586,0.0164,avanzar
11,0.704,66.6,68.5,0.0163,0.0167,0.0165,0.0166,0.09835,0.07728,0.14151,0.004506,0.029,0.0306,0.0594,0.0177,avanzar
12,0.768,69.8,69.8,0.017,0.017,0.017,0.0167,0.0983,0.07637,0.13905,0.004442,0.0278,0.0317,0.0611,0.0173,avanzar
13,0.832,67.5,65.4,0.0165,0.016,0.0162,0.0166,0.09838,0.07556,0.13723,0.004442,0.0287,0.032,0.0625,0.0167,avanzar
14,0.896,72.1,63.6,0.0176,0.0155,0.0166,0.0166,0.09834,0.07493,0.13586,0.004313,0.0308,0.0306,0.0616,0.0153,avanzar
15,0.96,61.2,67.3,0.0149,0.0164,0.0157,0.0163,0.09843,0.07437,0.13485,0.004313,0.0282,0.0318,0.0625,0.017,avanzar
16,1.024,62.1,67.0,0.0152,0.0164,0.0158,0.0161,0.09842,0.07386,0.13408,0.004313,0.0285,0.0307,0.0602,0.0169,avanzar
17,1.088,67.7,64.7,0.0165,0.0158,0.0162,0.0161,0.09838,0.07345,0.13351,0.004248,0.0291,0.03,0.0619,0.0161,avanzar
18,1.152,63.7,70.4,0.0155,0.0172,0.0164,0.0162,0.09836,0.07314,0.13308,0.004184,0.0283,0.0303,0.061,0.0171,avanzar
19,1.216,68.0,65.2,0.0166,0.0159,0.0163,0.0162,0.09837,0.07281,0.13276,0.004248,0.0304,0.0294,0.0597,0.0142,avanzar
20,1.28,67.5,68.8,0.0165,0.0168,0.0166,0.0164,0.09834,0.0725,0.13252,0.004248,0.0273,0.0299,0.0619,0.0162,avanzar
21,1.344,63.6,71.4,0.0155,0.0174,0.0165,0.0164,0.09835,0.07235,0.13233,0.00412,0.0298,0.0303,0.0596,0.0171,avanzar
22,1.408,70.3,59.8,0.0172,0.0146,0.0159,0.0162,0.09841,0.07216,0.1322,0.004184,0.0288,0.0289,0.0638,0.0156,avanzar
23,1.472,61.1,67.0,0.0149,0.0164,0.0156,0.0161,0.09844,0.072,0.13209,0.004184,0.0301,0.0321,0.0613,0.0158,avanzar
24,1.536,61.6,71.0,0.015,0.0173,0.0162,0.0161,0.09838,0.07191,0.13201,0.00412,0.0284,0.0305,0.0628,0.0171,avanzar
25,1.6,71.0,64.2,0.0173,0.0157,0.0165,0.0162,0.09835,0.07182,0.13195,0.00412,0.0285,0.0294,0.0624,0.0168,avanzar
26,1.664,66.0,61.0,0.0161,0.0149,0.0155,0.016,0.09845,0.0717,0.13191,0.004184,0.0293,0.0309,0.0602,0.0156,avanzar
27,1.728,68.2,77.7,0.0166,0.019,0.0178,0.0165,0.09822,0.07162,0.13188,0.00412,0.027,0.0324,0.0605,0.0169,avanzar
28,1.792,67.4,71.8,0.0165,0.0175,0.017,0.0167,0.0983,0.07156,0.13185,0.00412,0.0292,0.0323,0.0619,0.0183,avanzar
29,1.856,70.1,67.7,0.0171,0.0165,0.0168,0.0167,0.09832,0.07151,0.13183,0.00412,0.029,0.0306,0.062,0.0161,avanzar
30,1.92,68.3,71.6,0.0167,0.0175,0.0171,0.0168,0.09829,0.07147,0.13182,0.00412,0.0274,0.0297,0.0606,0.0148,avanzar
31,1.984,61.1,62.7,0.0149,0.0153,0.0151,0.0163,0.09849,0.07145,0.13181,0.00412,0.0277,0.0319,0.0623,0.0172,avanzar
32,2.048,67.8,70.9,0.0166,0.0173,0.0169,0.0165,0.09831,0.07142,0.1318,0.00412,0.0278,0.0305,0.0613,0.0159,avanzar
33,2.112,66.7,68.1,0.0163,0.0166,0.0165,0.0165,0.09835,0.07139,0.13179,0.00412,0.0294,0.0316,0.0621,0.0156,avanzar
34,2.176,63.9,72.8,0.0156,0.0178,0.0167,0.0165,0.09833,0.07136,0.13179,0.00412,0.0287,0.0321,0.0609,0.0141,avanzar
35,2.24,68.9,63.0,0.0168,0.0154,0.0161,0.0164,0.09839,0.07135,0.13179,0.00412,0.0288,0.0322,0.0585,0.0151,avanzar
36,2.304,64.9,68.4,0.0158,0.0167,0.0163,0.0164,0.09837,0.07133,0.13178,0.00412,0.0276,0.0314,0.0642,0.0153,avanzar
37,2.368,69.4,67.7,0.017,0.0165,0.0167,0.0165,0.09833,0.07137,0.13178,0.004055,0.0275,0.031,0.0594,0.0185,avanzar
38,2.432,67.1,67.8,0.0164,0.0165,0.0165,0.0165,0.09835,0.07135,0.13178,0.00412,0.0292,0.0335,0.0605,0.0154,avanzar
39,2.496,60.6,61.1,0.0148,0.0149,0.0149,0.016,0.09851,0.07135,0.13178,0.00412,0.0284,0.0315,0.0583,0.0186,avanzar
40,2.56,64.8,66.5,0.0158,0.0162,0.016,0.016,0.0984,0.07134,0.13178,0.00412,0.028,0.0315,0.0626,0.0157,avanzar
41,2.624,70.3,68.6,0.0172,0.0167,0.017,0.0163,0.0983,0.07132,0.13178,0.00412,0.0291,0.0304,0.0628,0.017,avanzar
42,2.688,65.2,70.8,0.0159,0.0173,0.0166,0.0164,0.09834,0.0713,0.13178,0.00412,0.0283,0.0316,0.0614,0.0171,avanzar
43,2.752,68.3,67.1,0.0167,0.0164,0.0165,0.0164,0.09835,0.07129,0.13178,0.00412,0.029,0.0316,0.058,0.0137,avanzar
44,2.816,68.6,66.7,0.0168,0.0163,0.0165,0.0165,0.09835,0.07128,0.13178,0.00412,0.0284,0.0321,0.0618,0.0163,avanzar
45,2.88,65.1,64.7,0.0159,0.0158,0.0158,0.0163,0.09842,0.07128,0.13178,0.00412,0.0288,0.0291,0.0616,0.0163,avanzar
46,2.944,62.5,66.9,0.0153,0.0163,0.0158,0.0161,0.09842,0.07133,0.13177,0.004055,0.0287,0.0318,0.0625,0.0156,avanzar
47,3.008,66.0,70.2,0.0161,0.0171,0.0166,0.0163,0.09834,0.07131,0.13177,0.00412,0.026,0.0325,0.0605,0.0168,avanzar
48,3.072,67.6,66.0,0.0165,0.0161,0.0163,0.0163,0.09837,0.0713,0.13177,0.00412,0.0291,0.0307,0.0654,0.0156,avanzar
49,3.136,71.4,65.1,0.0174,0.0159,0.0167,0.0164,0.09833,0.07129,0.13177,0.00412,0.0297,0.0327,0.0606,0.0169,avanzar
50,3.2,61.2,63.1,0.0149,0.0154,0.0152,0.016,0.09848,0.07135,0.13177,0.004055,0.0295,0.0319,0.0615,0.0175,avanzar
51,3.264,70.2,67.1,0.0171,0.0164,0.0168,0.0162,0.09832,0.07133,0.13177,0.00412,0.0292,0.0334,0.0592,0.0173,avanzar
52,3.328,69.1,71.5,0.0169,0.0175,0.0172,0.0165,0.09828,0.0713,0.13177,0.00412,0.0288,0.0294,0.0619,0.0166,avanzar
53,3.392,60.9,67.0,0.0149,0.0164,0.0156,0.0163,0.09844,0.0713,0.13177,0.00412,0.0269,0.0307,0.0603,0.0154,avanzar
54,3.456,72.5,62.9,0.0177,0.0154,0.0165,0.0163,0.09835,0.07129,0.13177,0.00412,0.0273,0.032,0.0627,0.0164,avanzar
