paso,tiempo_s,ps0_raw,ps7_raw,ps0_norm,ps7_norm,front_norm_crudo,front_norm_filtrado,front_metros_crudo,front_metros_kalman,ganancia_K,delta_d_encoder,ps1_norm,ps6_norm,ps2_norm,ps5_norm,accion
0,0.0,67.8,67.1,0.0166,0.0164,0.0165,0.0164,0.05426,0.05427,0.95243,0.0,0.0168,0.0171,0.0175,0.0171,desacelerar
1,0.064,69.7,65.0,0.017,0.0159,0.0164,0.0164,0.05429,0.05386,0.49301,0.000837,0.0163,0.0161,0.0153,0.017,desacelerar
2,0.128,62.8,70.8,0.0153,0.0173,0.0163,0.0164,0.05449,0.05356,0.33907,0.000772,0.0164,0.0166,0.0159,0.0155,desacelerar
3,0.192,72.8,64.9,0.0178,0.0159,0.0168,0.0165,0.05375,0.05295,0.2642,0.000901,0.0168,0.0183,0.0156,0.0157,desacelerar
4,0.256,66.8,59.9,0.0163,0.0146,0.0155,0.0162,0.0558,0.05298,0.22131,0.000772,0.0148,0.0174,0.014,0.0169,desacelerar
5,0.32,67.1,65.0,0.0164,0.0159,0.0161,0.0162,0.05479,0.05266,0.1944,0.000837,0.0178,0.0165,0.0176,0.0165,desacelerar
6,0.384,71.2,72.5,0.0174,0.0177,0.0175,0.0166,0.05268,0.05197,0.17655,0.000837,0.0163,0.0158,0.0164,0.0133,desacelerar
7,0.448,70.1,68.8,0.0171,0.0168,0.017,0.0167,0.05352,0.05158,0.16426,0.000772,0.0169,0.0175,0.015,0.0158,desacelerar
8,0.512,63.3,63.7,0.0155,0.0156,0.0155,0.0163,0.05574,0.05147,0.15559,0.000901,0.0155,0.0166,0.0181,0.0173,desacelerar
9,0.576,68.1,66.6,0.0166,0.0163,0.0164,0.0164,0.0543,0.05123,0.14936,0.000772,0.0169,0.0162,0.017,0.016,desacelerar
10,0.64,68.2,73.5,0.0166,0.0179,0.0173,0.0166,0.05305,0.05078,0.14483,0.000837,0.0163,0.0164,0.0147,0.0164,desacelerar
11,0.704,66.6,68.5,0.0163,0.0167,0.0165,0.0166,0.05422,0.05055,0.14151,0.000837,0.0168,0.0165,0.0152,0.0177,desacelerar
12,0.768,69.8,69.8,0.017,0.017,0.017,0.0167,0.05341,0.05028,0.13905,0.000772,0.0159,0.0173,0.0161,0.0173,desacelerar
13,0.832,67.5,65.4,0.0165,0.016,0.0162,0.0166,0.05463,0.0501,0.13723,0.000901,0.0165,0.0174,0.0169,0.0167,desacelerar
14,0.896,72.1,63.6,0.0176,0.0155,0.0166,0.0166,0.05412,0.04998,0.13586,0.000772,0.018,0.0165,0.0164,0.0153,girar_izquierda
15,0.96,61.2,67.3,0.0149,0.0164,0.0157,0.0163,0.05545,0.05072,0.13485,0.0,0.0161,0.0173,0.0169,0.017,girar_izquierda
16,1.024,62.1,67.0,0.0152,0.0164,0.0158,0.0161,0.05534,0.05134,0.13408,0.0,0.0164,0.0166,0.0156,0.0169,girar_izquierda
17,1.088,67.7,64.7,0.0165,0.0158,0.0162,0.0161,0.05473,0.05179,0.13351,0.0,0.0168,0.0161,0.0166,0.0161,girar_izquierda
18,1.152,63.7,70.4,0.0155,0.0172,0.0164,0.0162,0.0544,0.05208,0.13308,6.4e-05,0.0163,0.0163,0.0161,0.0171,girar_izquierda
19,1.216,68.0,65.2,0.0166,0.0159,0.0163,0.0162,0.05458,0.05247,0.13276,-6.4e-05,0.0177,0.0157,0.0154,0.0142,girar_izquierda
20,1.28,67.5,68.8,0.0165,0.0168,0.0166,0.0164,0.05399,0.05267,0.13252,0.0,0.0155,0.0161,0.0166,0.0162,girar_izquierda
21,1.344,63.6,71.4,0.0155,0.0174,0.0165,0.0164,0.05424,0.05288,0.13233,0.0,0.0173,0.0163,0.0153,0.0171,girar_izquierda
22,1.408,70.3,59.8,0.0172,0.0146,0.0159,0.0162,0.05516,0.05318,0.1322,0.0,0.0166,0.0154,0.0176,0.0156,girar_izquierda
23,1.472,61.1,67.0,0.0149,0.0164,0.0156,0.0161,0.05553,0.05349,0.13209,0.0,0.0175,0.0175,0.0162,0.0158,desacelerar
24,1.536,61.6,71.0,0.015,0.0173,0.0162,0.0161,0.05468,0.05292,0.13201,0.000837,0.0163,0.0164,0.0171,0.0171,desacelerar
25,1.6,71.0,64.2,0.0173,0.0157,0.0165,0.0162,0.0542,0.05236,0.13195,0.000837,0.0164,0.0158,0.0169,0.0168,desacelerar
26,1.664,66.0,61.0,0.0161,0.0149,0.0155,0.016,0.05573,0.05208,0.13191,0.000837,0.017,0.0167,0.0156,0.0156,desacelerar
27,1.728,68.2,77.7,0.0166,0.019,0.0178,0.0165,0.05231,0.05144,0.13188,0.000772,0.0153,0.0177,0.0158,0.0169,desacelerar
28,1.792,67.4,71.8,0.0165,0.0175,0.017,0.0167,0.05347,0.05098,0.13185,0.000837,0.0169,0.0176,0.0166,0.0183,desacelerar
29,1.856,70.1,67.7,0.0171,0.0165,0.0168,0.0167,0.05374,0.05062,0.13183,0.000837,0.0167,0.0165,0.0166,0.0161,desacelerar
